respondent,UCLA_index,Q8_disability,NeighborIndex,DiversityDiscussImportant,DiversitySupportive,Q22_marital_satn,Q46_attend_religious,Q39_caregiver,Q30_supportive_num,Q64_yrs_current_residence,Q65_relocate,ethnic,gender,household_size,income,employ,age_group,Q2_health_overall,Q27_11_parents_inperson,Q27_12_parents_email,Q27_13_parents_phone,Q27_14_parents_letters,Q27_15_parents_text,Q27_16_parents_online,Q27_17_parents_SN,Q27_21_child_inperson,Q27_22_child_email,Q27_23_child_phone,Q27_24_child_letters,Q27_25_child_text,Q27_26_child_online,Q27_27_child_SN,Q27_31_sibling_inperson,Q27_32_sibling_email,Q27_33_sibling_phone,Q27_34_sibling_letters,Q27_35_sibling_text,Q27_36_sibling_online,Q27_37_sibling_SN,Q27_41_friend_inperson,Q27_42_friend_email,Q27_43_friend_phone,Q27_44_friend_letters,Q27_45_friend_text,Q27_46_friend_online,Q27_47_friend_SN,Q28_discuss_important_matters_num,passaway_index,moveaway_index,Q38_more_less_friends,Q48_volunteer,Q50_groups,Q53_hobbies,Q77_hrs_alone,Q89_1_internet_sentiment,Q89_2_internet_sentiment,Q89_3_internet_sentiment,Q89_4_internet_sentiment,Q89_5_internet_sentiment,Q89_6_internet_sentiment,Q89_7_internet_sentiment,Q89_8_internet_sentiment,Q89_9_internet_sentiment,Q89_10_internet_sentiment,internet_sentiment_index,Q90_tradeoffs_family,Q91_tradeoffs_intimate_convo
3,29,0,0.08714925,3,5,5,6,0,100,4,0,1,2,4,14,7,5,5,,,,,,,,5,1,5,1,5,1,1,5,1,5,1,5,1,1,4,1,4,2,5,1,1,3,1,0,2,1,1,5,2,1,1,4,5,5,5,4,5,4,5,39,2,2
4,23,0,2.229521755,2,4,5,6,0,12,1,1,1,1,2,19,5,7,4,,,,,,,,3,4,4,1,5,5,4,2,3,3,1,4,4,1,5,1,1,1,5,5,1,2,0,0,3,1,3,2,1,2,2,1,4,5,4,5,1,5,5,34,2,2
5,51,0,2.011530292,1,1,5,6,1,5,5,0,1,1,1,21,1,7,5,,,,,,,,5,5,5,2,5,5,5,4,4,4,2,4,4,4,5,5,5,5,5,5,1,1,1,1,2,0,1,3,1,5,5,1,5,3,3,3,3,3,3,34,1,1
6,31,0,-0.348833675,5,6,5,2,0,8,2,3,1,1,4,9,1,5,2,,,,,,,,5,4,5,1,5,4,5,4,3,3,1,4,1,5,5,5,5,1,5,1,2,5,1,0,3,0,1,2,1,4,4,3,5,3,5,3,5,2,4,38,1,1
7,48,1,2.229521755,,,3,1,0,0,1,1,1,1,3,16,5,6,2,,,,,,,,5,1,5,1,5,1,1,2,1,2,1,1,1,1,3,1,3,1,1,1,5,0,,0,2,0,1,4,3,1,1,5,1,5,1,5,1,5,3,28,2,2
8,28,0,3.566296968,4,3,5,1,0,5,2,2,1,2,1,9,5,7,5,,,,,,,,4,1,5,1,5,1,5,4,1,5,1,5,1,4,4,2,5,1,4,1,2,4,0,1,2,0,1,2,1,5,4,1,5,5,5,4,3,4,3,39,2,2
9,36,0,3.78428843,4,2,2,3,0,2,5,0,1,1,2,21,2,7,3,,,,,,,,5,5,4,2,5,1,4,4,4,3,2,2,1,3,5,5,2,2,2,1,5,6,0,0,3,1,1,2,3,4,3,2,4,4,3,3,3,4,5,35,2,2
10,32,1,0.728609598,1,1,5,2,0,20,2,1,1,1,2,17,2,7,2,,,,,,,,5,5,5,3,5,1,1,3,4,4,1,4,1,1,5,5,4,1,4,1,5,1,2,,2,0,2,2,1,2,3,2,1,5,1,4,2,3,2,25,2,2
11,37,0,4.425748778,3,2,1,2,0,2,5,0,1,1,2,21,5,7,4,,,,,,,,4,5,5,2,5,5,4,4,5,3,2,5,3,5,4,5,5,2,5,2,1,2,0,1,2,1,2,5,1,4,1,2,3,3,3,3,3,4,1,27,2,2
12,39,1,2.011530292,3,4,0,3,0,25,3,1,1,2,1,6,5,7,4,,,,,,,,,,,,,,,4,5,4,4,5,1,1,5,5,5,4,4,2,5,5,2,1,2,1,3,5,4,3,1,1,2,3,3,5,3,4,3,28,2,1
